PersonID,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,zipcode,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
99673,0,0.545779836,28,60601,0,77.0,5250.0,2,0,0,0,0
99683,0,0.0,51,60601,0,0.0,5250.0,1,0,0,0,0
99722,0,0.002896096,83,60601,0,0.44660503700000004,3136.0,6,0,1,0,1
99749,0,0.539518481,62,60601,0,1.242348532,1600.0,10,0,1,0,0
99759,0,0.168838252,37,60601,0,0.723138431,2000.0,4,0,1,0,2
99760,0,0.013857986999999999,75,60601,0,0.163870681,9000.0,9,0,1,0,0
99769,0,0.11803674800000001,49,60601,1,0.11476001400000001,2770.0,5,0,0,0,1
99773,0,0.0,45,60601,0,0.188721289,5833.0,6,0,1,0,3
99781,0,0.022047268999999998,64,60601,0,0.17983613399999998,7200.0,6,0,1,0,1
99789,0,0.398111899,64,60601,0,2580.0,5250.0,7,0,2,0,0
99797,0,0.8360145170000001,41,60601,1,0.148932995,6700.0,11,0,0,0,0
99805,0,0.662161271,51,60601,0,0.772756342,4690.0,9,0,2,0,1
99818,0,0.008077735,78,60601,0,0.0017141220000000002,10500.0,12,0,0,0,0
99820,0,0.003846006,59,60601,0,0.185109489,6849.0,3,0,1,0,0
99826,0,0.049067402999999996,67,60601,0,0.732110752,2780.0,13,0,2,0,0
99832,0,0.078687912,32,60601,0,560.0,5250.0,7,0,0,0,0
99841,0,0.0,56,60601,0,0.738840773,1500.0,3,0,1,0,1
99869,0,0.045380875,61,60601,0,2676.0,5250.0,7,0,2,0,0
99899,0,0.273003587,41,60601,0,0.444740701,7500.0,8,0,2,0,0
99914,0,0.062837487,65,60601,0,0.393318147,5267.0,10,0,1,0,0
99926,0,0.04214579,60,60601,0,0.306849645,16613.0,12,0,1,0,1
99931,0,0.028918867,42,60601,0,0.38223111,7000.0,5,0,1,0,0
99949,0,0.08089481400000001,33,60601,0,0.138413686,4500.0,7,0,0,0,2
99951,0,0.9999998999999999,80,60601,0,0.0,5250.0,4,0,0,0,0
99958,0,0.002460828,65,60601,0,0.252077172,7100.0,19,0,1,0,0
99960,0,0.018184056,37,60601,0,0.439056094,10000.0,6,0,1,0,1
99968,0,0.8772150129999999,54,60601,5,2020.0,5250.0,12,0,1,0,1
99973,0,0.044923877,65,60601,0,1.054518072,3319.0,8,0,2,0,0
99977,0,0.004008057,64,60601,0,0.22216666699999998,5999.0,19,0,1,0,0
99981,0,0.0,40,60601,0,0.903654485,300.0,6,0,0,0,3
99987,0,0.0,64,60601,0,200.0,5250.0,3,0,1,0,0
99993,0,0.0019526460000000002,59,60601,0,0.001142748,10500.0,13,0,0,0,0
99996,0,0.5584443920000001,40,60601,0,3034.0,5250.0,8,0,2,0,0
99999,0,0.08724563800000001,44,60601,0,0.305138972,5000.0,5,0,2,0,2
100002,0,0.043495228,79,60601,0,0.269365317,4001.0,7,0,1,0,0
100003,0,0.8547231820000001,47,60601,0,0.855018587,5379.0,22,0,3,0,3
100015,0,0.988167653,27,60601,0,3934.0,5250.0,7,0,2,0,3
100036,0,0.954045954,24,60601,0,28.0,0.0,1,1,0,0,0
100067,0,0.47690614,45,60601,0,0.460764436,13316.0,16,0,2,0,1
100072,0,0.686517888,65,60601,0,0.52173913,1241.0,8,0,0,0,0
100079,0,0.5661786870000001,58,60601,0,0.870578327,3561.0,15,0,4,0,0
100080,0,0.087119555,71,60601,0,41.0,5250.0,5,0,0,0,0
100100,0,0.8365608929999999,47,60601,0,0.480676793,5200.0,13,0,0,0,4
100101,0,0.063058773,64,60601,0,2047.0,5250.0,10,0,1,0,0
100119,0,0.417872773,53,60601,1,0.635373847,9000.0,19,0,4,0,0
100121,0,0.629024732,38,60601,0,0.23359152100000002,4905.0,7,0,0,1,1
100123,0,0.012180268000000001,77,60601,0,1267.0,5250.0,6,0,1,0,0
100132,0,0.012132126000000002,49,60601,0,1.8747795409999999,1700.0,14,0,2,0,0
100142,0,0.131096256,60,60601,0,0.279103686,7541.0,15,0,2,0,0
100144,0,0.8557257709999999,40,60601,0,0.215643991,5100.0,6,0,0,0,0
100162,0,0.975155757,45,60601,0,0.42604429899999996,6726.0,6,0,2,0,2
100166,0,0.15749606300000002,75,60601,0,0.5657161589999999,3050.0,10,0,1,0,0
100171,0,0.342996643,62,60601,0,0.780367232,1415.0,11,0,1,0,0
100179,0,0.044551549,57,60601,0,0.35922888799999997,6950.0,15,0,2,0,2
100180,0,0.003574392,51,60601,0,0.322853016,9000.0,6,0,1,0,2
100195,0,0.0,56,60601,0,0.13722662800000002,4160.0,3,0,1,0,0
100221,0,0.056217847,73,60601,0,0.25376344100000003,8834.0,14,0,2,0,0
100223,0,0.02879808,30,60601,0,0.08744534699999999,1600.0,3,0,0,0,0
100225,0,0.0,46,60601,0,267.0,5250.0,5,0,0,0,0
100238,0,0.0005065569999999999,74,60601,0,1.328903654,300.0,15,0,0,0,0
100247,0,0.061434649,63,60601,0,0.120413757,11310.0,6,0,1,0,0
100248,0,0.097419335,53,60601,0,0.333729964,14286.0,10,0,3,0,2
100250,0,0.23616098100000002,40,60601,0,0.382927665,5833.0,9,0,1,0,3
100269,0,0.020285187,81,60601,0,0.007919366,4166.0,7,0,0,0,0
100275,0,0.198670118,53,60601,0,0.439719739,12416.0,11,0,3,0,0
100303,0,0.28615272,45,60601,0,0.522843535,5668.0,14,0,2,0,4
100312,0,0.28488899300000003,52,60601,1,0.396060394,10000.0,11,0,2,0,3
100336,0,0.323597818,55,60601,0,0.226846644,5333.0,16,0,0,0,0
100337,0,0.916615946,37,60601,0,0.21351125899999998,3596.0,13,0,0,0,0
100386,0,0.10826726,36,60601,0,0.239875389,9950.0,16,0,2,0,2
100390,0,0.009797306,61,60601,2,0.031989337,3000.0,24,0,0,0,0
100392,0,0.018398773,56,60601,0,6814.0,5250.0,8,0,2,0,0
100395,0,0.949405059,44,60601,4,0.265024734,9500.0,6,0,2,0,3
100401,0,0.09307610699999999,36,60601,0,0.37812821399999996,5833.0,5,0,1,0,2
100402,0,0.0,60,60601,0,2101.0,5250.0,8,0,2,0,0
100434,0,0.035135831,41,60601,0,0.38071130200000003,7900.0,9,0,2,0,1
100444,0,0.41174353,66,60601,0,1.407636739,968.0,11,0,1,0,0
100464,0,0.699493652,51,60601,0,1.351571268,3563.0,20,0,2,0,2
100473,0,0.001933269,51,60601,0,0.38190452399999997,4000.0,4,0,1,0,0
100479,0,0.015636763999999997,50,60601,1,0.19220195,4000.0,8,0,0,0,1
100485,0,0.12531705199999998,57,60601,0,0.028796709,5833.0,11,0,0,0,0
100487,0,0.590771529,51,60601,1,2.7967344219999997,3000.0,22,0,4,0,4
100519,0,0.404643606,56,60601,0,0.38006756799999997,13615.0,12,0,2,0,2
100529,0,0.9999998999999999,21,60601,0,0.0,5250.0,1,0,0,0,0
100594,0,0.0,26,60601,0,0.038712687,2143.0,5,0,0,0,0
100602,0,0.15584415599999998,30,60601,0,0.376956794,1596.0,6,0,0,0,1
100606,0,0.6426313020000001,39,60601,1,535.0,5250.0,10,0,0,0,0
100614,0,0.47491066299999996,50,60601,0,0.501430615,2795.0,6,0,2,0,1
100619,0,0.883468965,67,60601,0,0.34236067600000003,12775.0,11,0,2,0,1
100621,0,0.978553909,63,60601,0,1.208422555,1400.0,4,0,0,0,0
100622,0,0.0,23,60601,0,0.0,5250.0,2,0,0,0,0
100632,0,0.027335322000000002,57,60601,0,2307.0,0.0,16,0,1,0,0
100645,0,1.00543716,33,60601,0,1075.0,5250.0,6,0,0,0,3
100646,0,0.187101612,56,60601,0,0.006852515,6420.0,5,0,0,0,3
100663,0,0.024805813,55,60601,0,0.107875811,5700.0,8,0,1,0,0
100677,0,0.194457742,34,60601,0,0.8388082509999999,1308.0,11,0,2,0,2
100686,0,0.105946111,29,60601,0,0.691525979,6100.0,8,0,3,0,0
100695,0,0.043697815,77,60601,0,0.026789284,2500.0,8,0,0,0,0
100703,0,0.100199859,53,60601,0,0.045387167,14166.0,19,0,0,0,1
100710,0,0.029115968,55,60601,0,0.297070293,10000.0,17,0,2,0,1
100723,0,0.393887461,35,60601,1,748.0,5250.0,3,0,1,0,0
100725,0,0.0013390639999999998,45,60601,0,0.000105252,9500.0,7,0,0,0,0
100727,0,0.236750779,36,60601,0,0.21349518,2800.0,7,0,0,0,0
100729,0,0.9999998999999999,51,60601,0,0.012395042,2500.0,1,0,0,0,0
100739,0,0.013113313,53,60601,0,0.204960836,3829.0,5,0,2,0,0
100761,0,1.1212439379999999,29,60601,1,0.174206448,4000.0,2,1,0,0,0
100769,0,0.113118499,69,60601,0,0.581913499,1525.0,10,0,0,0,0
100771,0,0.9999998999999999,57,60601,0,1.206144337,5500.0,2,0,1,0,2
100777,0,0.166832515,58,60601,0,0.39787798399999996,7916.0,10,0,2,0,1
100788,0,0.828428588,84,60601,0,1.452845205,2512.0,8,0,0,0,0
100794,0,0.448646174,43,60601,0,0.2173417,1752.0,4,0,0,0,0
100805,0,0.06307718799999999,36,60601,0,3662.0,5250.0,10,0,1,0,1
100807,0,0.037749476000000004,83,60601,0,0.052975144,3982.0,15,0,0,0,0
100813,0,0.9999998999999999,46,60601,0,0.164147695,5226.0,3,0,1,0,1
100816,0,0.106788026,50,60601,0,611.0,5250.0,10,0,0,0,0
100830,0,0.291878763,58,60601,0,0.518952447,1450.0,8,0,0,0,0
100837,0,0.6322591120000001,77,60601,0,0.47420494700000004,4244.0,11,0,1,0,0
100853,0,0.9999998999999999,84,60601,0,0.0,5250.0,5,0,0,0,0
100855,0,0.0,35,60601,0,0.22310185800000001,16041.0,7,0,1,0,1
100873,0,0.00504682,79,60601,0,0.013409962,1565.0,21,0,0,0,0
100886,0,0.01003946,56,60601,0,2977.0,5250.0,13,0,2,0,0
100890,0,0.669950739,50,60601,2,0.5899653979999999,5201.0,12,0,2,2,2
100903,0,0.671719895,59,60601,1,0.680131987,10000.0,18,0,2,0,2
100914,0,0.517804693,34,60601,0,0.154316187,9000.0,9,0,1,0,1
100930,0,0.031687043,57,60601,0,0.0051860890000000005,9833.0,4,0,0,0,1
100949,0,0.0,55,60601,0,0.467616852,4770.0,8,0,2,0,0
100953,0,0.014507008,91,60601,0,7.0,5250.0,1,0,0,0,0
100972,0,0.01284566,64,60601,0,0.207745738,4750.0,3,0,1,0,1
100978,0,0.007499625,53,60601,0,1587.0,5250.0,7,0,2,0,0
100980,0,0.152092721,51,60601,0,0.326749573,4100.0,6,0,1,0,2
100990,0,0.09897620800000001,40,60601,0,0.244177841,4250.0,10,0,1,0,0
101003,0,0.499933588,54,60601,1,0.328222532,16500.0,8,0,2,0,3
101004,0,0.059936027,45,60601,0,0.009498417,6000.0,2,0,0,0,2
101015,0,0.36268557700000004,36,60601,0,0.247596667,4680.0,8,0,0,0,0
101018,0,0.9999998999999999,46,60601,0,0.312488638,5500.0,6,0,2,0,0
101032,0,0.16051786699999998,55,60601,0,0.23723627,6208.0,5,0,2,0,0
101044,0,0.663885973,53,60601,1,1346.0,5250.0,7,0,1,0,0
101086,0,0.012553429,63,60601,0,0.018392643,2500.0,10,0,0,0,0
101094,0,0.126581025,64,60601,0,0.216851097,5150.0,15,0,1,0,1
101097,0,0.0,42,60601,2,0.46020761200000004,2600.0,6,1,1,1,2
101107,0,0.05034591099999999,52,60601,0,1569.0,5250.0,10,0,2,0,0
101111,0,0.006340043,75,60601,0,0.197160568,5000.0,10,0,2,0,0
101129,0,0.188074363,45,60601,0,0.31600587399999996,6809.0,16,0,2,0,0
101132,0,0.070670869,57,60601,0,1867.0,5250.0,8,0,1,0,0
101148,0,0.43971867600000003,53,60601,0,0.534913517,1560.0,5,0,1,0,0
101163,0,1.019981835,42,60601,4,0.132698118,4302.0,8,0,0,0,1
101176,0,0.263886978,73,60601,0,0.21659446899999998,3000.0,8,0,1,0,0
101180,0,0.096537644,68,60601,0,0.430909516,4276.0,6,0,2,0,0
101210,0,0.53439132,66,60601,1,0.464564565,3329.0,9,0,0,0,0
101217,0,0.04219578,57,60601,0,1786.0,5250.0,10,0,2,0,0
101233,0,0.116315469,44,60601,0,0.33493762899999996,10180.0,7,0,2,0,3
101250,0,0.030631619,64,60601,0,1.044129892,1200.0,3,0,1,0,0
101253,0,0.668669775,40,60601,1,0.42383846299999994,5100.0,7,0,1,0,2
101255,0,0.439579616,59,60601,0,0.756109482,2045.0,10,0,1,0,0
101261,0,0.502021133,47,60601,1,0.543497364,2275.0,9,0,0,0,2
101272,0,0.219958645,51,60601,0,0.470816148,8000.0,12,0,3,0,0
101277,0,0.04062774,49,60601,0,0.20184976899999998,8000.0,9,0,2,0,3
101283,0,1.00742751,43,60601,0,0.536492701,5000.0,7,0,1,0,1
101296,0,0.512778795,49,60601,1,0.25905718,18327.0,11,0,1,0,3
101312,0,0.037686597999999995,52,60601,1,0.187230175,4400.0,21,0,1,0,0
101327,0,0.019556245,53,60601,0,0.21384186800000002,4666.0,15,0,1,0,0
101330,0,0.126072916,41,60601,0,0.49214277,8208.0,8,0,2,0,3
101357,0,0.270416695,59,60601,0,2164.0,5250.0,9,0,1,0,1
101358,0,0.48304719700000004,40,60601,0,0.389624426,3700.0,11,0,0,0,2
101360,0,0.118058811,85,60601,0,112.0,5250.0,4,0,0,0,0
101361,0,0.078864038,60,60601,0,0.321226258,3000.0,4,0,1,0,0
101371,0,0.18188215300000002,42,60601,1,0.403617325,2100.0,8,1,1,1,1
101379,0,0.01521679,41,60601,0,0.236357435,5863.0,7,0,2,0,3
101383,0,0.006803788000000001,76,60601,0,0.129721762,5426.0,10,0,0,0,0
101385,0,0.0,27,60601,0,0.863560732,600.0,5,0,0,0,0
101409,0,0.019455253,65,60601,0,0.00259948,5000.0,4,0,0,0,0
101433,0,0.8549211290000001,45,60601,2,0.195070792,3813.0,11,0,0,1,3
101448,0,0.026664889,38,60601,0,0.237840154,14000.0,7,0,2,0,2
101449,0,0.376566801,40,60601,0,4212.0,5250.0,9,0,1,0,3
101460,0,0.07399444200000001,62,60601,0,0.330797653,4600.0,9,0,2,0,1
101469,0,0.072866427,57,60601,0,0.21771065399999998,12116.0,10,0,3,0,0
101502,0,0.09882872300000001,39,60601,0,0.251961237,6500.0,9,0,1,0,3
101516,0,0.23717010100000002,42,60601,0,0.222081886,9500.0,5,0,1,0,2
101533,0,0.02010836,58,60601,0,0.286350537,7633.0,7,0,2,0,3
101563,0,0.593316932,55,60601,0,0.39321608,19103.0,10,0,2,0,1
101571,0,0.134360583,54,60601,0,2452.0,5250.0,10,0,1,0,0
101576,0,0.024448189,62,60601,0,0.028766455,2050.0,6,0,0,0,1
101583,0,1.024765421,64,60601,3,0.452886248,2355.0,8,0,1,0,0
101623,0,0.539585611,49,60601,2,0.46336000000000005,6249.0,11,0,2,0,0
101635,0,0.961321547,43,60601,0,2387.0,5250.0,2,0,1,0,2
101658,0,0.001212121,62,60601,0,1116.0,0.0,13,0,1,0,0
101669,0,0.06514261,38,60601,1,0.277918323,8300.0,11,0,1,0,0
101674,0,0.665333524,30,60601,1,0.399720056,5000.0,7,0,1,1,0
101693,0,0.406711539,49,60601,2,0.675505325,4600.0,19,0,2,0,1
101704,0,0.062187562,70,60601,0,0.019490255,2000.0,5,0,0,0,0
101722,0,0.12034384,68,60601,0,1451.0,5250.0,8,0,2,0,0
101723,0,0.0017088070000000001,55,60601,0,1723.0,5250.0,5,0,1,0,0
101727,0,0.033368373,42,60601,0,0.155487805,3279.0,7,0,0,0,0
101743,0,0.8446242509999999,46,60601,0,0.128443468,5916.0,8,0,0,0,0
101754,0,0.024731,75,60601,0,0.692393115,1800.0,7,0,1,0,0
101758,0,0.107933609,62,60601,0,5362.0,5250.0,14,0,5,0,0
101763,0,0.007194245,22,60601,0,0.0,5250.0,1,0,0,0,0
101764,0,0.54162696,46,60601,0,0.49361926100000003,7600.0,11,0,1,0,0
101776,0,0.0,66,60601,0,0.12432620400000001,5750.0,7,0,1,0,0
101789,0,0.0012260069999999999,40,60601,0,0.0,4500.0,2,0,0,0,2
101807,0,0.031761803,28,60601,1,262.5,1.0,12,0,0,0,2
101823,0,0.0,43,60601,0,0.25094697,11615.0,6,0,2,0,2
101828,0,0.9361765959999999,46,60601,0,0.271954674,6000.0,2,0,0,0,1
101833,0,0.08115119400000001,63,60601,0,0.28044537199999997,7184.0,15,0,1,0,0
101836,0,0.534208411,47,60601,0,0.649671806,6550.0,9,0,3,0,2
101846,0,0.621061435,50,60601,0,0.42466645,6145.0,9,0,2,0,2
101848,0,0.001939335,81,60601,0,12.0,5250.0,3,0,0,0,0
101849,0,0.068484287,65,60601,0,0.427697359,6700.0,11,0,1,0,0
101856,0,0.145198116,30,60601,0,0.33700926299999995,6800.0,10,0,1,0,1
101861,0,0.270851984,73,60601,0,0.324512376,8766.0,22,0,2,0,0
101877,0,0.9999998999999999,36,60601,0,2054.0,5250.0,3,0,1,0,0
101883,0,0.52358504,38,60601,1,0.924632353,2175.0,10,0,1,0,2
101912,0,0.0,54,60601,0,2763.0,5250.0,5,0,1,0,0
101934,0,0.0098044,52,60601,0,6.0,5250.0,2,0,0,0,0
101935,0,0.016931076,58,60601,0,118.0,5250.0,4,0,0,0,0
101940,0,0.059685466,48,60601,0,0.34803574,7050.0,12,0,1,0,1
101942,0,0.536734587,62,60601,1,3121.0,5250.0,11,0,1,0,0
101954,0,0.411772856,68,60601,0,0.876830775,5666.0,11,0,2,1,0
101972,0,0.01674515,67,60601,0,0.1137509,4166.0,8,0,1,0,0
101974,0,0.047710428,68,60601,0,267.0,5250.0,8,0,1,0,0
101982,0,0.024849137,63,60601,0,0.011644419,3520.0,8,0,0,0,0
101991,0,0.016518622,66,60601,1,0.18441358,5183.0,7,0,1,1,0
102006,0,0.025859722999999998,72,60601,0,0.19350538,10500.0,18,0,1,0,0
102008,0,0.5202821870000001,39,60601,0,0.003999333,6000.0,4,0,0,0,1
102036,0,0.582955157,38,60601,0,0.7061029659999999,2932.0,4,0,1,0,0
102037,0,0.8784765859999999,34,60601,0,0.341897952,8250.0,10,0,1,0,3
102053,0,0.9999998999999999,43,60601,0,0.27518188,13332.0,8,0,2,0,3
102054,0,0.004902349,69,60601,0,0.00195474,13300.0,19,0,0,0,0
102055,0,0.08967641300000001,35,60601,0,0.210866057,5576.0,2,0,1,0,0
102066,0,0.003212483,77,60601,0,781.0,5250.0,4,0,1,0,0
102071,0,0.040307447,67,60601,0,0.038301415,1200.0,7,0,0,0,0
102074,0,0.8553141870000001,63,60601,0,0.7663619209999999,6890.0,11,0,4,0,2
102086,0,0.275729557,57,60601,0,0.19846412300000002,4166.0,12,0,0,0,1
102088,0,0.584483103,27,60601,0,0.889136668,3138.0,13,0,2,0,0
102090,0,0.013642613999999999,76,60601,0,0.005998285999999999,3500.0,7,0,0,0,0
102102,0,0.035202477999999995,55,60601,0,0.203277703,6650.0,7,0,1,0,0
102104,0,0.0,91,60601,0,0.0,5250.0,3,0,0,0,0
102111,0,0.07442103900000001,75,60601,0,0.13674819300000002,6500.0,4,0,1,0,0
102112,0,0.034304232000000004,54,60601,0,2650.0,5250.0,10,0,1,0,0
102117,0,0.048563105999999995,68,60601,0,0.271939569,4500.0,3,0,1,0,0
102128,0,0.056147193,76,60601,0,0.39833449,1440.0,3,0,2,0,1
102134,0,0.143981789,50,60601,0,0.42804766299999997,12000.0,12,0,2,0,3
102143,0,0.36618570100000003,54,60601,0,0.7560975609999999,3771.0,11,0,1,0,1
102147,0,0.0,62,60601,0,0.252803675,7400.0,6,0,2,0,1
102168,0,0.572363422,40,60601,1,1.202771017,5340.0,8,1,5,0,1
102169,0,0.16439409800000002,44,60601,2,0.317248734,3750.0,6,0,1,0,0
102172,0,0.011093038000000001,34,60601,0,0.164753795,2700.0,5,0,0,0,2
102185,0,0.8847179909999999,79,60601,0,0.51442704,6064.0,6,0,1,0,0
102187,0,0.25442180600000003,65,60601,0,0.465842311,8167.0,12,0,4,0,0
102194,0,0.0032317559999999997,56,60601,0,0.669628971,4500.0,15,0,2,0,0
102198,0,0.47519672399999996,65,60601,0,4293.0,5250.0,11,0,1,0,0
102199,0,0.0,43,60601,0,0.25688573800000003,11000.0,6,0,1,0,2
102214,0,0.555777746,58,60601,0,0.216912388,5900.0,2,0,1,0,2
102227,0,0.16924878399999999,37,60601,1,0.082628852,3666.0,9,0,0,0,0
102229,0,0.186704497,45,60601,0,0.6755508170000001,5627.0,15,0,2,0,1
102237,0,0.040275168,90,60601,0,0.195018548,5660.0,12,0,2,1,0
102267,0,0.9999998999999999,39,60601,4,0.959872017,7500.0,7,0,4,1,2
102310,0,0.538804707,50,60601,0,1595.0,5250.0,4,0,1,0,0
102311,0,0.013550825,65,60601,0,0.281365624,11891.0,13,0,1,0,0
102312,0,0.138897496,60,60601,0,440.0,5250.0,9,0,0,0,0
102318,0,0.526434441,31,60601,0,0.07461139900000001,2894.0,3,0,0,0,0
102335,0,0.025618678,80,60601,0,0.005998909,5500.0,3,0,0,0,0
102346,0,0.441167264,65,60601,3,5487.0,5250.0,15,1,2,0,0
102349,0,0.05997133,67,60601,0,1712.0,5250.0,9,0,1,0,0
102351,0,0.578850125,31,60601,0,0.34003428399999996,6416.0,6,0,1,0,0
102361,0,0.131776655,59,60601,0,0.151182722,8750.0,9,0,1,0,0
102374,0,0.177484442,46,60601,1,0.22956764300000002,7169.0,9,0,1,0,0
102395,0,0.0,58,60601,0,0.201658132,4100.0,9,0,1,0,0
102396,0,0.12332938,43,60601,0,1908.0,5250.0,6,0,1,0,0
102399,0,0.09841265199999999,57,60601,0,0.45944791,11700.0,13,0,7,0,1
102435,0,0.052834752,67,60601,0,0.073616335,3721.0,6,0,0,0,0
102437,0,0.862051372,49,60601,4,0.8070241220000001,8000.0,11,0,2,1,0
102441,0,0.140379651,64,60601,0,1730.0,5250.0,14,0,0,0,1
102460,0,0.873887891,62,60601,0,0.49608062700000005,6250.0,13,0,2,0,0
